worksheet_id,name_ja,a_category,b_category,a_institution,b_institution,a_determination,b_determination,agree_category,both_confirmed,a_weak_evidence,b_weak_evidence,a_evidence_url,b_evidence_url,a_quote,b_quote,review_reason,adjudicated_category,adjudicated_institution,adjudicated_determination,adjudicator_note
W089,ファンティーニ 燦,j_club_academy,other,ACチェゼーナ下部組織,ACチェゼーナU17,confirmed,confirmed,0,1,,,https://www.footballchannel.jp/2015/07/30/post99330/,https://fufc.jp/team/player/2020/1/,現在は、かつて長友佑都もプレーしたセリエB（現在2部）チェゼーナの下部組織に所属している。,生年月日　1998/5/24　経歴　ACチェゼーナU14→ACチェゼーナU15→ACチェゼーナU16→ACチェゼーナU17→ACチェゼーナU19→ACチェゼーナ → サガン鳥栖,disagreement,other,ACチェゼーナU17,confirmed,bの見解採用　海外ジュニア
W097,今井 昌太,unknown,university,,びわこ成蹊スポーツ大学,indeterminate,confirmed,0,0,,,,https://yamaga-sportsclub.com/staff/shota-imai,,上松SSC-上松中学校-桐光学園高校-びわこ成蹊スポーツ大学-松本山雅FC-ブラウブリッツ秋田-MIOびわこ滋賀-ブラウブリッツ秋田-サウルコス福井,disagreement,university,びわこ成蹊スポーツ大学,confirmed,bの公式引用を採用
W098,福村 貴幸,unknown,high_school,,大阪桐蔭高等学校,indeterminate,confirmed,0,0,,,,https://www.jleague.jp/news/article/29802/,,福村は大阪桐蔭高より2010年に京都サンガF.C.に加入。,disagreement,high_school,大阪桐蔭高等学校,confirmed,bの公式引用を採用
W099,梁 賢柱,university,university,早稲田大学,早稲田大学,confirmed,confirmed,1,1,,,https://www.waseda-afc.jp/news-men/100186,https://www.veertien.jp/fc/news_all/top_news/89166,東京朝鮮中高級学校→早稲田大学,ヴィッセル神戸U-12 ー 大宮アルディージャU-15 ー 東京朝鮮高校 ー 早稲田大学 ー FC今治 ー 東京武蔵野ユナイテッドFC ー ヴィアティン三重（2023～）,agreement_spot_check,university,早稲田大学,confirmed,整合確認
W106,林 祥太,unknown,university,,国士舘大学,indeterminate,confirmed,0,0,,,,https://ococias.kyoto/news/1680/,,〖生年月日〗1995年2月24日(26歳)　〖経歴〗久御山高校 – 国士舘大学 – ロアッソ熊本 – アルテリーヴォ和歌山 – おこしやす京都AC（2021〜）,disagreement,university,国士舘大学,confirmed,bの公式引用を採用
W112,井上 裕大,unknown,j_club_academy,,大分トリニータU-18,indeterminate,confirmed,0,0,,,,https://www.oita-trinita.co.jp/news/20161127383/,,■過去の大分トリニータU-18からのトップチーム昇格選手　※()内は現所属　2008年　　石田良輔　（アスルクラロ沼津）、井上裕大　（町田）、清武弘嗣　（スペイン・セビージャ）、小手川宏基　（北九州）,disagreement,j_club_academy,大分トリニータU-18,confirmed,bの公式引用を採用
W118,猿田 遥己,unknown,j_club_academy,,柏レイソルU-18,indeterminate,confirmed,0,0,,,,https://www.jleague.jp/player/1607370/,,ＦＣ大泉学園-横河武蔵野ＦＣジュニア-横河武蔵野ＦＣＪｒユース-柏レイソルＵ－１８-柏レイソル-鹿児島ユナイテッドＦＣ-柏レイソル-ガンバ大阪-柏レイソル-横浜ＦＣ,disagreement,j_club_academy,柏レイソルU-18,confirmed,bの公式引用を採用
W119,エスクデロ 競飛王（エスクデロ セルヒオ）,j_club_academy,j_club_academy,浦和レッズユース,浦和レッズユース,confirmed,confirmed,1,1,,,https://www.footballchannel.jp/2016/06/23/post159562/,https://www.urawa-reds.co.jp/topteamtopics/32073/,ジュニアユースから慣れ親しんだ浦和レッズを飛び出したのが2012年7月。,浦和レッズは、浦和レッズユースに所属しＪリーグ出場可能選手として登録しておりました、ＭＦ　セルヒオ・エスクデロ選手と契約する運びとなりましたので、お知らせ致します。,agreement_spot_check,j_club_academy,浦和レッズユース,confirmed,整合確認
W126,齋藤 学,unknown,j_club_academy,,横浜Ｆ・マリノスユース,indeterminate,confirmed,0,0,,,,https://www.azul-claro.jp/clubs/players/2026-07/,,誕生日  | 1990/04/04　前所属チーム　横浜Ｆ・マリノスプライマリー → 横浜Ｆ・マリノスジュニアユース → 横浜Ｆ・マリノスユース → 横浜Ｆ・マリノス → 愛媛ＦＣ → 横浜Ｆ・マリノス → 川崎フロンターレ → 名古屋グランパス → 水原三星ブルーウィングス／大韓民国 → ニューカッスル・ユナイテッド・ジェッツFC／オーストラリア → ベガルタ仙台,disagreement,j_club_academy,横浜Ｆ・マリノスユース,confirmed,bの公式引用を採用
W127,富澤 清太郎,j_club_academy,j_club_academy,読売日本SCユース,東京ヴェルディユース,confirmed,confirmed,1,1,,,https://www.verdy.co.jp/page/1150,https://www.verdy.co.jp/news/10639,二度目のセレクションで合格し、「読売日本SCユース」に入団した,〖生年月日〗1982年7月8日　〖経歴〗読売日本ＳＣユースＳ → 読売日本ＳＣＪｒユース → 東京ヴェルディユース → 東京ヴェルディ → ベガルタ仙台 → 東京ヴェルディ → 横浜Ｆ・マリノス → ジェフユナイテッド千葉 → アルビレックス新潟 → SC相模原,agreement_spot_check,j_club_academy,東京ヴェルディユース,confirmed,整合確認 institutionはbを採用
W130,永田 亮太,unknown,university,,立命館大学,indeterminate,confirmed,0,0,,,,https://www.jleague.jp/news/article/18728/,,永田は立命館大より2008年に湘南ベルマーレに加入。その後、サガン鳥栖、モンテディオ山形、ザスパクサツ群馬でのプレーを経て、2015年より讃岐に在籍していました。,disagreement,university,立命館大学,confirmed,bの公式引用を採用
W133,笹垣 拓也,unknown,university,,国際武道大学,indeterminate,confirmed,0,0,,,,https://myfc.co.jp/news/20140821/5534/,,私は、静岡県出身で浜名高校からロアッソ熊本に入り、国際武道大学を経て藤枝に来ました。,disagreement,university,国際武道大学,confirmed,bの公式引用を採用
W134,ディビッドソン 純マーカス,unknown,other,,アメリカングローバルサッカースクール,indeterminate,confirmed,0,0,,,,https://www.albirex.co.jp/news/22256/,,アメリカングローバルサッカースクール（USA）→大宮アルディージャ→アルビレックス新潟→ヴィッセル神戸（期限付き移籍）→コンサドーレ札幌（期限付き移籍）→アルビレックス新潟,disagreement,other,アメリカングローバルサッカースクール,confirmed,bの公式引用を採用
W143,村山 祐介,unknown,university,,国士舘大学,indeterminate,confirmed,0,0,,,,https://www1.kokushikan.ac.jp/campus_life/school_event/festival/tama/pdf/club08.pdf,,国士舘大学サッカー部 主な出身者　村山 祐介　ジュビロ磐田サッカースクールコーチ　2003年,disagreement,university,国士舘大学,confirmed,bの公式引用を採用
W145,島貫 純,unknown,high_school,,修徳高等学校,indeterminate,confirmed,0,0,,,,https://www.soccerdigestweb.com/news/detail/id%3D84737,,同校卒業後にプロ入りを果したのは2007年に水戸ホーリーホックに加入した島貫純以来、14年ぶりの出来事だが、修徳中学校が生んだJリーガーは大森が初だ。,disagreement,unknown,,indeterminate,非公式情報
W147,八田直樹,j_club_academy,j_club_academy,ジュビロ磐田ユース,ジュビロ磐田ユース,confirmed,confirmed,1,1,,,https://web.gekisaka.jp/player/?33712-9194-jp,https://jubilo-iwata.co.jp/files/staff/20250220.pdf,港中-磐田ユース-磐田,八田 直樹 | ハッタナオキ | GK | 2005-2023 | 1986.6.24 | 185/76 | ジュビロユース,agreement_spot_check,j_club_academy,ジュビロ磐田ユース,confirmed,整合確認
W151,森 洋介,unknown,university,,日本文理大学,indeterminate,confirmed,0,0,,,,https://archive1.fc-gifu.com/news/2008/08/post_275.php,,■生年月日 1985年7月25日生まれ ■サッカー歴 鹿児島実業高－日本文理大学-FC岐阜セカンド,disagreement,university,日本文理大学,confirmed,bの公式引用を採用
W154,山岸 智,j_club_academy,j_club_academy,ジェフユナイテッド市原ユース,ジェフユナイテッド市原ユース,confirmed,confirmed,1,1,,,https://www.soccer-king.jp/player/article/414517.html,https://archive.jefunited.co.jp/news/2008/01/top/12006288007972.html,海浜イレブン−ジェフユナイテッド市原Ｊｒユース−ジェフユナイテッド市原ユース−ジェフユナイテッド千葉−川崎フロンターレ−サンフレッチェ広島−川崎フロンターレ,1983年5月3日(24歳) ■経歴 1996～1999 ジェフユナイテッド市原ジュニアユース 1999～2002 ジェフユナイテッド市原ユース 2002～ ジェフユナイテッド市原（現ジェフユナイテッド市原・千葉）,agreement_spot_check,j_club_academy,ジェフユナイテッド市原ユース,confirmed,整合確認
W155,三幸 秀稔,other,j_club_academy,JFAアカデミー福島（学籍：福島県立富岡高等学校）,JFAアカデミー福島,confirmed,confirmed,0,1,,,https://www.ventforet.jp/news/press_release/503605,https://www.ventforet.jp/news/press_release/506230,2006年～　JFAアカデミー福島／学歴：市川市立大和田小学校 - 広野町立広野中学校 - 福島県立富岡高等高校,■生年月日：1993年5月23日(20歳) ■サッカー歴： 2001年～2006年：市川中央リトルキッズ 2006年～2012年：JFAアカデミー福島 2012年～：ヴァンフォーレ甲府,disagreement,other,JFAアカデミー福島,confirmed,aの見解を採用　JFAアカデミー
W160,西岡謙太,university,university,関西大学,関西大学,confirmed,confirmed,1,1,,,https://web.gekisaka.jp/player/?23889-10417-jp=,https://www.kansai-u.ac.jp/ja/assets/pdf/about/pr/press_release/2009/No30.pdf,経歴=鹿児島実高-関西大-水戸-アーントーンFC(タイ)-鹿児島,関西大学文学部４年次生で、体育会サッカー部所属の西岡謙太（にしおか・けんた）さんが、水戸ホーリーホックの２０１０シーズンの新加入選手として加入することが内定しました。 ■ 西岡謙太さんプロフィール (1)生年月日 ： １９８７年４月１５日（２２歳） (6)経歴 ： 帝人サッカースクール → 鹿児島実業高校サッカー部 → 関西大学体育会サッカー部,agreement_spot_check,university,関西大学,confirmed,整合確認
W164,石原 卓,high_school,university,中京大中京高等学校,中京大学,confirmed,confirmed,0,1,,,https://fcwyvern.com/news/%E7%9F%B3%E5%8E%9F%E5%8D%93%E9%81%B8%E6%89%8B%E3%80%80%E7%8F%BE%E5%BD%B9%E5%BC%95%E9%80%80%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B,https://fcwyvern.com/news/%E7%9F%B3%E5%8E%9F%E5%8D%93%E9%81%B8%E6%89%8B%E3%80%80%E7%8F%BE%E5%BD%B9%E5%BC%95%E9%80%80%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B,名古屋グランパスJr.ユース/中京大中京高校,◆生年月日 1988年10月3日 ◆サッカー歴 名古屋グランパスJr.ユース/中京大中京高校/横浜Fマリノス/徳島ヴォルティス/中京大学/FK MLADOST(モンテネグロ)/FC Erzgebirge Aue(ドイツ)/FC Saarbruecken(ドイツ)/TSG Neustrelitz(ドイツ)/名古屋クラブ/wyvern,disagreement,high_school,中京大学,confirmed,aの見解を採用bの公式引用で確認 高校➡J➡大学➡Jのケース
W165,青木 亮太,unknown,high_school,,流通経済大学付属柏高等学校,indeterminate,confirmed,0,0,,,,https://nagoya-grampus.jp/news/pressrelease/2016/123020172.php,,◇生年月日 1996年3月6日（20歳） ◇経歴 東京ヴェルディジュニア→東京ヴェルディJrユース→流通経済大付属柏高→名古屋グランパス,disagreement,university,流通経済大学付属柏高等学校,confirmed,bの公式引用を採用
W176,永井 俊太,high_school,high_school,船橋市立船橋高等学校,船橋市立船橋高等学校,confirmed,confirmed,1,1,,,https://www.reysol.co.jp/news/youth/-u-18-38.html,https://www.reysol.co.jp/news/youth/-u-18-38.html,1998年～2000年 船橋市立船橋高,■生年月日： 1982年7月12日（40歳） ■選手歴： 1998年～2000年 船橋市立船橋高 2001年～2004年8月 柏レイソル,agreement_spot_check,high_school,船橋市立船橋高等学校,confirmed,整合確認
W177,遠野 大弥,high_school,high_school,藤枝明誠高等学校,藤枝明誠高等学校,confirmed,confirmed,1,1,,,https://www.frontale.co.jp/profile/2021/mem_19.html,https://www.f-marinos.com/team/player/player-detail/7,西益津サッカースポーツ少年団［藤枝市立西益津小学校（静岡県）］－藤枝明誠SC（静岡県）［藤枝市立西益津中学校（静岡県）］－藤枝明誠高校（静岡県）－Honda FC（静岡県）－川崎フロンターレ－アビスパ福岡－川崎フロンターレ,生年月日 1999/03/14 経歴 西益津サッカースポーツ少年団（藤枝市立西益津小学校）- 藤枝明誠SC（藤枝市立西益津中学校）- 藤枝明誠高等学校 - Honda FC - 川崎フロンターレ - アビスパ福岡 - 川崎フロンターレ,agreement_spot_check,high_school,藤枝明誠高等学校,confirmed,整合確認
W178,藤井 航大,university,university,東京学芸大学,東京学芸大学,confirmed,confirmed,1,1,,,https://j-lease-fc.com/news/9137/,https://www.zelvia.co.jp/news/news-148093/,鹿島アントラーズユース－東京学芸大学,□生年月日 1991年1月13日（28歳） □所属チーム歴 蜷川SSC→富山みなみFC→鹿島アントラーズユース→東京学芸大→カマタマーレ讃岐→FC町田ゼルビア,agreement_spot_check,university,東京学芸大学,confirmed,整合確認
W180,須崎 恭平,unknown,j_club_academy,,ジュビロ磐田ユース,indeterminate,confirmed,0,0,,,,https://static.jubilo-iwata.co.jp/lib/images/tas/20250220.pdf,,須崎 恭平 スザキキョウヘイ DF 2008-2009 1989.6.21 176/68 ジュビロユース,disagreement,j_club_academy,ジュビロ磐田ユース,confirmed,bの公式引用を採用
